,Diện Tích,Giá,Triệu/m2,Số Phòng Ngủ,Số Nhà Vệ Sinh,Giá Đề Xuất,Giá Quận,Giá Đường
933,86.0,5.6,65.1,3.0,2.0,66200.0,7.5,4.0
938,75.0,7.4,98.7,1.0,1.0,132000.0,7.5,7.300000000000001
940,250.0,68.0,272.0,3.0,3.0,266500.0,8.35,12.5
941,87.0,7.3,83.9,2.0,2.0,129600.0,6.7,6.4
950,91.0,18.5,203.3,7.0,8.0,145800.0,8.9,18.5
953,93.0,11.2,120.4,2.0,2.0,132000.0,7.5,7.300000000000001
958,53.0,2.52,47.5,1.0,1.0,97200.0,6.5,2.925
965,70.0,6.5,92.9,6.0,5.0,92350.0,6.5,4.4
968,95.0,8.4,88.4,2.0,2.0,157800.0,14.0,9.85
970,86.0,5.3,61.6,2.0,2.0,72900.0,6.5,6.2
978,56.0,2.7,48.2,2.0,1.0,86800.0,4.675000000000001,3.2
982,30.0,6.8,226.7,3.0,4.0,89900.0,8.9,5.8
989,356.0,71.5,200.8,3.0,4.0,132000.0,7.5,7.300000000000001
993,73.0,7.8,106.8,4.0,3.0,80200.0,6.0,6.25
996,74.0,8.6,116.2,3.0,4.0,41300.0,7.5,8.6
1011,437.5,493.0,1126.9,7.0,6.0,416000.0,14.0,13.75
1034,83.6,8.6,102.9,4.0,5.0,93150.0,6.7,7.5
1046,62.2,12.0,192.9,2.0,2.0,93150.0,6.7,7.5
1055,94.0,10.5,111.7,3.0,2.0,157800.0,14.0,9.85
1062,85.1,16.9,198.6,6.0,6.0,74300.0,8.19,16.9
1066,114.0,14.0,122.8,2.0,3.0,132000.0,7.5,7.300000000000001
1070,78.0,3.99,51.2,2.0,2.0,64800.0,6.95,7.050000000000001
1073,67.0,3.0,44.8,2.0,2.0,61450.0,7.5,6.7
1077,160.0,10.5,65.6,4.0,5.0,66200.0,7.5,10.65
1086,72.0,6.2,86.1,5.0,6.0,67900.0,4.675000000000001,5.65
1094,76.0,11.5,151.3,5.0,4.0,103700.0,8.9,11.4
1102,160.0,8.5,53.1,4.0,4.0,66200.0,7.5,10.65
1103,70.0,3.85,55.0,2.0,1.0,164700.0,4.4,4.324999999999999
1110,167.0,30.0,179.6,9.0,7.0,159200.0,12.0,17.0
1112,74.6,6.85,91.8,2.0,2.0,179800.0,8.9,9.9
1115,60.0,2.95,49.2,2.0,2.0,27000.0,4.65,5.5
1116,35.0,1.8,51.4,2.0,2.0,98100.0,7.51,6.75
1117,175.0,19.0,108.6,6.0,6.0,115000.0,6.5,10.5
1120,567.0,79.0,139.3,40.0,40.0,80450.0,4.675000000000001,12.9
1122,55.0,2.3,41.8,1.0,1.0,40233.333333333336,6.7,2.675
1129,139.8,16.5,118.0,4.0,3.0,179800.0,8.9,9.9
1139,66.0,3.1,47.0,2.0,2.0,129600.0,6.7,6.4
1145,53.0,2.15,40.6,1.0,1.0,93050.0,4.675000000000001,3.875
1155,55.0,10.2,185.5,4.0,3.0,173300.0,7.51,11.0
1156,250.0,15.0,60.0,6.0,4.0,67900.0,4.675000000000001,5.65
1159,60.0,5.5,91.7,5.0,5.0,28400.0,4.675000000000001,5.5
