Price,Area,Bedrooms,Toilets,Published At,Loại tin,Status,Developer,Street,District,Suggested Price,Million/m2,District Price,Street Price
8.2,54.0,3,3,2024-10-21,Tin thường,Đã bàn giao,cá nhân/môi giới,2,quận 2,163.0,151.85,13.395,8.2
7.0,86.2,3,3,2024-10-21,Tin VIP Vàng,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,81.21,6.6,6.95
7.0,51.0,5,3,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,137.25,6.6,6.95
9.2,100.0,2,1,2024-10-18,Tin thường,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,92.0,6.6,6.95
6.9,104.0,3,3,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,66.35,6.6,6.95
5.75,54.0,2,2,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,106.48,6.6,6.95
3.3,58.0,2,2,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,2,thủ đức,163.0,56.9,6.6,6.95
9.3,68.0,4,6,2024-10-22,Tin thường,Đã bàn giao,cá nhân/môi giới,20,bình chánh,76.5,136.76,4.5,3.625
3.3,72.0,2,2,2024-10-27,Tin thường,Đã bàn giao,Tập đoàn Đất Xanh,20,bình chánh,76.5,45.83,4.5,3.625
14.5,121.0,4,2,2024-10-18,Tin thường,Đã bàn giao,cá nhân/môi giới,20,bình chánh,76.5,119.83,4.5,3.625
1.69,71.0,2,2,2024-10-26,Tin thường,Đã bàn giao,Tập đoàn Đất Xanh,20,bình chánh,76.5,23.8,4.5,3.625
2.95,72.0,2,2,2024-10-27,Tin thường,Đã bàn giao,Tập đoàn Đất Xanh,20,bình chánh,76.5,40.97,4.5,3.625
21.700000000000003,310.0,7,8,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,20,bình chánh,76.5,70.0,4.5,3.625
3.4,72.0,2,2,2024-10-24,Tin thường,Đã bàn giao,Tập đoàn Đất Xanh,20,bình chánh,76.5,47.22,4.5,3.625
3.85,72.0,2,2,2024-10-31,Tin thường,Đã bàn giao,Tập đoàn Đất Xanh,20,bình chánh,76.5,53.47,4.5,3.625
4.88,48.0,3,4,2024-10-19,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,20,bình tân,66.1,101.67,5.225,4.88
32.5,120.0,4,4,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,20,quận 2,78.6,270.83,13.395,32.5
5.2,70.0,3,2,2024-10-19,Tin thường,Đã bàn giao,cá nhân/môi giới,20,thủ đức,78.6,74.29,6.6,5.2
1.85,44.0,3,3,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,21,bình chánh,75.0,42.05,4.5,1.85
9.0,90.0,4,4,2024-10-23,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,21,bình tân,51.5,100.0,5.225,9.0
16.5,140.0,4,5,2024-10-23,Tin thường,Đã bàn giao,Tập đoàn VinaCapital,21,nhà bè,32.5322,117.86,5.2,16.5
5.8,81.4,3,4,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,21,quận 9,78.6,71.25,7.5,5.8
3.65,37.0,3,2,2024-10-26,Tin thường,Đã bàn giao,cá nhân/môi giới,22,quận 9,77.0,98.65,7.5,7.325
11.0,108.0,4,4,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,22,quận 9,77.0,101.85,7.5,7.325
65.0,252.0,4,5,2024-10-24,Tin thường,Đang cập nhật tiến độ,Công ty TNHH Phát Triển Phú Mỹ Hưng,22,tân phú,74.3545,257.94,7.4,65.0
46.0,162.0,4,4,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,23,quận 6,90.7,283.95,8.2,46.0
80.0,344.0,4,5,2024-10-28,Tin thường,Đã bàn giao,Công ty TNHH Phát Triển Phú Mỹ Hưng,23,tân phú,74.3545,232.56,7.4,80.0
6.615,189.0,4,4,2024-10-09,Tin thường,Đã bàn giao,cá nhân/môi giới,245,quận 9,45.4,35.0,7.5,6.615
2.5,50.0,4,4,2024-10-25,Tin thường,Đã bàn giao,cá nhân/môi giới,245,tân phú,74.3545,50.0,7.4,2.5
22.9,166.0,3,3,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,25,bình chánh,27.5,137.95,4.5,19.45
16.0,120.0,4,5,2024-10-23,Tin thường,Đã bàn giao,cá nhân/môi giới,25,bình chánh,27.5,133.33,4.5,19.45
10.12,125.0,3,2,2024-10-16,Tin thường,Đã bàn giao,Đang cập nhật,25,quận 2,75.0,80.96,13.395,10.12
25.0,140.0,5,6,2024-10-23,Tin VIP Bạc,Đã bàn giao,cá nhân/môi giới,25,quận 7,80.6284,178.57,9.0,29.0
33.0,140.0,4,5,2024-10-24,Tin thường,Đã bàn giao,cá nhân/môi giới,25,quận 7,80.6284,235.71,9.0,29.0
6.05,72.0,4,4,2024-10-27,Tin thường,Đã bàn giao,cá nhân/môi giới,26,bình chánh,84.2,84.03,4.5,6.05
6.05,73.4,4,4,2024-10-28,Tin thường,Đã bàn giao,cá nhân/môi giới,26,bình chánh,84.2,82.43,4.5,6.05
