Price,Address,Area,Bedrooms,Toilets,Published At,Hướng nhà,Hướng ban công,Loại tin,Status,Number of Apartments,Developer,Area Range,Diện Tích,Giá,Triệu/m2,Ngày đăng,Số Phòng Ngủ,Số Nhà Vệ Sinh,Quận,Giá Đề Xuất,Đường
"16,5 tỷ","Estella Heights, 88, Đường Song Hành, Phường An Phú, Quận 2, Hồ Chí Minh",125.0,3,2,16/10/2024,Bắc,Nam,Tin thường,Đã bàn giao,872,Công ty TNHH Keppel Land Việt Nam,"(109.8, 126.933]",125.0,16.5,13.2,2024-10-16,3.0,2.0,quận 2,59327.65113974232,
"10,7 tỷ","Dự án Lumiere Riverside, Đường Võ Nguyên Giáp, Phường An Phú, Quận 2, Hồ Chí Minh",96.0,3,2,26/10/2024,,,Tin thường,Đang mở bán,2,Công ty CP Ðịa ốc Thảo Ðiền,"(92.667, 109.8]",96.0,10.7,11.1,2024-10-26,3.0,2.0,quận 2,132000.0,võ nguyên giáp
21 tỷ,"Đường Lạc Long Quân, Phường 10, Tân Bình, Hồ Chí Minh",95.0,4,3,27/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(92.667, 109.8]",95.0,21.0,22.1,2024-10-27,4.0,3.0,tân bình,175600.0,lạc long quân
"4,9 tỷ","Đường Hoàng Văn Thụ, Phường 8, Phú Nhuận, Hồ Chí Minh",50.0,3,2,27/09/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(41.267, 58.4]",50.0,4.9,9.8,2024-09-27,3.0,2.0,phú nhuận,227600.0,hoàng văn thụ
"4,95 tỷ","Đường Trương Đăng Quế, Phường 1, Gò Vấp, Hồ Chí Minh",32.0,3,4,25/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(24.133, 41.267]",32.0,4.95,15.5,2024-10-25,3.0,4.0,gò vấp,42800.0,trương đăng quế
10 tỷ,"Dự án Vinhomes Central Park, Đường Điện Biên Phủ, Phường 22, Bình Thạnh, Hồ Chí Minh",123.7,3,2,15/10/2024,,,Tin thường,Đã bàn giao,13.000,Tập đoàn Vingroup,"(109.8, 126.933]",123.7,10.0,8.1,2024-10-15,3.0,2.0,bình thạnh,179800.0,điện biên phủ
"6,95 tỷ","Đường Nguyễn Sỹ Sách, Phường 15, Tân Bình, Hồ Chí Minh.",85.0,5,32425531914893617,23/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",85.0,6.95,8.2,2024-10-23,5.0,3.2425531914893616e+16,tân bình,70000.0,nguyễn sỹ sách
8 tỷ,"Đường Hoàng Diệu 2, Phường Linh Trung, Thủ Đức, Hồ Chí Minh",80.0,332599837000815,32425531914893617,26/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(75.533, 92.667]",80.0,8.0,10.0,2024-10-26,332599837000815.0,3.2425531914893616e+16,thủ đức,66400.0,hoàng diệu 2
"5,45 tỷ","Đường Lê Trọng Tấn, Phường Tây Thạnh, Tân Phú, Hồ Chí Minh",62.0,4,2,27/10/2024,Đông - Nam,Đông - Nam,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(58.4, 75.533]",62.0,5.45,8.8,2024-10-27,4.0,2.0,tân phú,94000.0,tây thạnh
"3,39 tỷ","Đường Chiến Thắng, Phường 9, Phú Nhuận, Hồ Chí Minh",24.0,2,2,18/10/2024,,,Tin thường,Đã bàn giao,,cá nhân/môi giới,"(6.743, 24.133]",24.0,3.39,14.1,2024-10-18,2.0,2.0,phú nhuận,74300.0,chiến thắng
