Title,Price,Address,Price per m2,Area,Bedrooms,Toilets,Published At,Diện tích,Mức giá,Hướng nhà,Hướng ban công,Ngày đăng,Ngày hết hạn,Loại tin,Mã tin,Project Title,Status,Number of Apartments,Number of Buildings,Developer,Project Address
Eco Green Sài Gòn,"4,2 tỷ","Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh",,66 m²,2 phòng,2 phòng,22/10/2024,66 m²,"4,2 tỷ",,,22/10/2024,29/10/2024,Tin VIP Kim Cương,41054340,Eco Green Sài Gòn,"30/8/2022: động thổ xây 1300 căn NOXH, phân khu MR1",44-95 m²,4.000,Công ty CP Đầu tư và Xây dựng Xuân Mai,"Dự án Eco Green Sài Gòn, Đường Nguyễn Văn Linh, Phường Tân Thuận Tây, Quận 7, Hồ Chí Minh"
,160 tỷ,"68, Đường Trần Hưng Đạo, Phường Cô Giang, Quận 1, Hồ Chí Minh",,312 m²,,,19/10/2024,312 m²,160 tỷ,,,19/10/2024,29/10/2024,Tin thường,40452866,,,,,,"68, Đường Trần Hưng Đạo, Phường Cô Giang, Quận 1, Hồ Chí Minh"
,"12,5 tỷ","Đường 359, Phường Phước Long B, Quận 9, Hồ Chí Minh",,"131,3 m²",,,21/10/2024,"131,3 m²","12,5 tỷ",,,21/10/2024,05/11/2024,Tin thường,40941843,,,,,,"Đường 359, Phường Phước Long B, Quận 9, Hồ Chí Minh"
Q7 Saigon Riverside,"2,65 tỷ","Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,68 m²,2 phòng,2 phòng,22/10/2024,68 m²,"2,65 tỷ",,,22/10/2024,29/10/2024,Tin VIP Kim Cương,34655700,Q7 Saigon Riverside,Đã bàn giao căn hộ,53-86 m²,3.580,Công ty CP Tập đoàn Hưng Thịnh,"Dự án Q7 Saigon Riverside, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
,24 tỷ,"Đường Hồ Văn Huê, Phường 9, Phú Nhuận, Hồ Chí Minh",,80 m²,,,22/10/2024,80 m²,24 tỷ,,,22/10/2024,06/11/2024,Tin thường,41135090,,,,,,"Đường Hồ Văn Huê, Phường 9, Phú Nhuận, Hồ Chí Minh"
La Casa,11 tỷ,"Dự án La Casa, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh",,80 m²,4 phòng,6 phòng,23/10/2024,80 m²,11 tỷ,,,23/10/2024,02/11/2024,Tin thường,36736720,La Casa,Bàn giao năm 2013,1.800,Công ty CP Vạn Phát Hưng,Công ty CP Vạn Phát Hưng,"Dự án La Casa, Đường Đào Trí, Phường Phú Thuận, Quận 7, Hồ Chí Minh"
,Thỏa thuận,"Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh",,42 m²,3 phòng,3 phòng,20/10/2024,42 m²,Thỏa thuận,Đông - Nam,,20/10/2024,30/10/2024,Tin thường,40665748,,,,,,"Đường Bùi Hữu Nghĩa, Phường 2, Bình Thạnh, Hồ Chí Minh"
,"6,49 tỷ","Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh",,52 m²,3 phòng,3 phòng,14/10/2024,52 m²,"6,49 tỷ",,,14/10/2024,24/10/2024,Tin thường,41205261,,,,,,"Đường Lê Đức Thọ, Phường 16, Gò Vấp, Hồ Chí Minh"
The Classia,"15,6 tỷ","Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh",,"92,5 m²",6 phòng,4 phòng,19/10/2024,"92,5 m²","15,6 tỷ",Đông - Nam,Đông - Nam,19/10/2024,03/11/2024,Tin thường,35379433,The Classia,Nhiều căn đã bàn giao và có sổ,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,,Công ty Cổ Phần Đầu Tư và Kinh Doanh nhà Khang Điền,"Dự án The Classia, Đường Võ Chí Công, Phường Phú Hữu, Quận 9, Hồ Chí Minh"
Tara Residence,"1,99 tỷ","Tara Residence, Tạ Quang Bửu, 6, Quận 8, Hồ Chí Minh",,47 m²,1 phòng,1 phòng,22/10/2024,47 m²,"1,99 tỷ",,,22/10/2024,01/11/2024,Tin thường,41290150,Tara Residence,Bàn giao năm 2019,50-100 m²,989,Đang cập nhật,"Tara Residence, Tạ Quang Bửu, 6, Quận 8, Hồ Chí Minh"
,"8,5 tỷ","Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh",,"82,2 m²",4 phòng,6 phòng,23/10/2024,"82,2 m²","8,5 tỷ",,,23/10/2024,02/11/2024,Tin thường,38740419,,,,,,"Đường Huỳnh Tấn Phát, Xã Phú Xuân, Nhà Bè, Hồ Chí Minh"
,20 tỷ,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh",,117 m²,5 phòng,5 phòng,18/10/2024,117 m²,20 tỷ,,,18/10/2024,28/10/2024,Tin thường,41245733,,,,,,"Đường Đề Thám, Phường Cầu Ông Lãnh, Quận 1, Hồ Chí Minh"
